movie_title,movie_id,imdb_link,imdb_score,movie_budget,release_day,release_month,release_year,duration,language,country,maturity_rating,aspect_ratio,distributor,nb_news_articles,director,actor1,actor1_star_meter,actor2,actor2_star_meter,actor3,actor3_star_meter,colour_film,genres,nb_faces,plot_keywords,action,adventure,scifi,thriller,musical,romance,western,sport,horror,drama,war,animation,crime,movie_meter_IMDBpro,cinematographer,production_company
Vanity Fair,1256,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1,6.2,23000000,25,Aug,2004,141,English,USA,PG-13,2.35,Amazon,221,Mira Nair,Romola Garai,2103,Roger Lloyd Pack,10543,Lillete Dubey,25775,Color,Drama,2,aristocrat|english|painter|painting|singer,0,0,0,0,0,0,0,0,0,1,0,0,0,197,Ed Rutherford,Mammoth Screen
Hanna,1258,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,6.8,30000000,8,Apr,2011,111,English,USA,PG-13,2.35,Focus Features International (FFI),2112,Joe Wright,Jessica Barden,1087,Vicky Krieps,4243,John Macmillan,10898,Color,Action|Drama|Thriller,0,assassin|female warrior|martial arts|playground|training,1,0,0,1,0,0,0,0,0,1,0,0,0,2533,Alwin H. Kabcchler,Focus Features
Forgetting Sarah Marshall,1261,http://www.imdb.com/title/tt0800039/?ref_=fn_tt_tt_1,7.2,30000000,18,Apr,2008,118,English,USA,R,1.85,Universal Pictures,2820,Nicholas Stoller,Mila Kunis,376,Jack McBrayer,4600,Maria Thayer,4125,Color,Comedy|Drama|Romance,1,breakup|hawaii|hotel|male full frontal nudity|resort,0,0,0,0,0,1,0,0,0,1,0,0,0,1200,Russ T. Alsobrook,Universal Pictures
Flatliners,1264,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,6.6,26000000,29,Sep,2017,115,English,USA,R,2.35,Columbia Pictures Corporation,125,Joel Schumacher,Julia Roberts,513,Oliver Platt,3555,Hope Davis,4125,Color,Drama|Horror|Sci-Fi|Thriller,5,childhood trauma|death|medical student|memory|near death experience,0,0,1,1,0,0,0,0,1,1,0,0,0,1864,Eric Kress,Columbia Pictures Corporation
Three Burials,1268,http://www.imdb.com/title/tt0419294/?ref_=fn_tt_tt_1,7.5,15000000,24,Feb,2006,107,English,France,R,2.35,EuropaCorp,168,Tommy Lee Jones,Levon Helm,14023,Dwight Yoakam,5037,Guillermo Arriaga,25717,Color,Adventure|Crime|Drama|Mystery|Western,2,cemetery|friend|journey|mexico|promise,0,1,0,0,0,0,1,0,0,1,0,0,1,10505,Chris Menges,EuropaCorp
Whipped,1280,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,4.4,3000000,1,Sep,2000,82,English,USA,R,1.85,Destination Films,1,Peter M. Cohen,Callie Thorne,4922,Brian Van Holt,6773,David Heyman,23564,Color,Comedy|Romance,1,dating|diner|masturbation|urination|washington square manhattan new york city,0,0,0,0,0,1,0,0,0,0,0,0,0,29865,Peter B. Kowalski,Hi-Rez Films
The Last King of Scotland,1290,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,7.7,6000000,19,Jan,2007,121,English,UK,R,2.35,Fox Searchlight Pictures,1603,Kevin Macdonald,David Oyelowo,4274,Simon McBurney,7983,Abby Mukiibi Nkaaga,216815,Color,Biography|Drama|History|Thriller,1,1970s|assassination|doctor|scottish|ugandan,0,0,0,1,0,0,0,0,0,1,0,0,0,5392,Anthony Dod Mantle,Fox Searchlight Pictures
Promised Land,1294,http://www.imdb.com/title/tt2091473/?ref_=fn_tt_tt_1,6.6,15000000,4,Jan,2013,106,English,USA,R,1.85,Focus Features,802,Gus Van Sant,Matt Damon,150,Hal Holbrook,4723,Terry Kinney,10184,Color,Drama,1,corporate greed|corporation|natural gas|salesman|small town,0,0,0,0,0,0,0,0,0,1,0,0,0,7423,Linus Sandgren,Focus Features
The Nutty Professor,1295,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,5.6,54000000,28,Jun,1996,95,English,USA,PG-13,1.85,Universal Pictures,429,Tom Shadyac,Jada Pinkett Smith,1892,James Coburn,3204,Dave Chappelle,1587,Color,Comedy|Romance|Sci-Fi,1,face slap|formula|overweight|professor|teacher,0,0,1,0,0,1,0,0,0,0,0,0,0,5720,Julio Macat,Imagine Entertainment
Hearts in Atlantis,1297,http://www.imdb.com/title/tt0252501/?ref_=fn_tt_tt_1,6.9,31000000,28,Sep,2001,101,English,USA,PG-13,2.35,Warner Bros.,93,Scott Hicks,Anthony Hopkins,671,Mika Boorem,3213,Hope Davis,4125,Color,Drama|Mystery,1,based on multiple works|bully|kiss|memory|mysterious stranger,0,0,0,0,0,0,0,0,0,1,0,0,0,10087,Piotr Sobocinski,Castle Rock Entertainment
The Book of Life,1305,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,7.3,50000000,17,Oct,2014,95,English,USA,PG,2.35,Twentieth Century Fox,617,Jorge R. Gutirrez,Channing Tatum,573,Hector Elizondo,3264,Ana de la Reguera,1458,Color,Adventure|Animation|Comedy|Family|Fantasy|Romance,1,afterlife|bullfight|bullfighting|love triangle|mexico,0,1,0,0,0,1,0,0,0,0,0,1,0,3893,multiple,Reel FX Creative Studios
Fever Pitch,1308,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,6.2,30000000,8,Apr,2005,104,English,USA,PG-13,2.35,Twentieth Century Fox,208,Bobby Farrelly,Jimmy Fallon,4742,KaDee Strickland,6045,Ione Skye,3859,Color,Comedy|Drama|Romance|Sport,1,baltimore orioles|boston red sox|promotion|ups|world series,0,0,0,0,0,1,0,1,0,1,0,0,0,8859,Matthew F. Leonetti,Fox 2000 Pictures
Mulholland Drive,1315,http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1,8,15000000,19,Oct,2001,147,English,France,R,1.85,Universal Pictures,1388,David Lynch,Naomi Watts,52,Robert Forster,3834,Laura Harring,1724,Color,Drama|Mystery|Thriller,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,0,0,0,1,0,0,0,0,0,1,0,0,0,813,Peter Deming,Les Films Alain Sarde
Nancy Drew,1319,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,5.9,20000000,15,Jun,2007,99,English,USA,PG,2.35,Warner Bros.,488,Andrew Fleming,Kay Panabaker,4880,Laura Harring,1724,Tate Donovan,1816,Color,Comedy|Crime|Family|Mystery|Romance|Thriller,5,chase|clue|detective|movie star|murder,0,0,0,1,0,1,0,0,0,0,0,0,1,8887,Alexander Gruszynski,Warner Bros.
The Hitchhiker's Guide to the Galaxy,1323,http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1,6.8,50000000,29,Apr,2005,109,English,USA,PG,2.35,Buena Vista Pictures,210,Garth Jennings,Zooey Deschanel,651,Kelly Macdonald,628,Thomas Lennon,2216,Color,Adventure|Comedy|Sci-Fi,0,alien|friend|galaxy|hyperspace|spaceship,0,1,1,0,0,0,0,0,0,0,0,0,0,710,Igor Jadue-Lillo,Touchstone Pictures
Thank You for Smoking,1324,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,7.6,6500000,14,Apr,2006,92,English,USA,R,2.35,Fox Searchlight Pictures,613,Jason Reitman,J.K. Simmons,1304,Cameron Bright,7886,Todd Louiso,12207,Color,Comedy|Drama,0,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,0,0,0,0,0,0,0,0,0,1,0,0,0,6603,Jim Whitaker,Room 9 Entertainment
The Fast and the Furious,1331,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,6.7,38000000,22,Jun,2001,106,English,USA,PG-13,2.35,Universal Pictures,2028,Rob Cohen,Paul Walker,1737,Vin Diesel,577,Jordana Brewster,886,Color,Action|Crime|Thriller,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,1,0,0,1,0,0,0,0,0,0,0,0,1,1492,Ericson Core,Universal Pictures
Red Eye,1336,http://www.imdb.com/title/tt0421239/?ref_=fn_tt_tt_1,6.5,26000000,19,Aug,2005,85,English,USA,PG-13,2.35,DreamWorks Distribution,257,Wes Craven,Robert Pine,5357,Carl Gilliard,103945,Suzie Plakson,4045,Color,Mystery|Thriller,0,airport|flight|hotel|hotel manager|plane,0,0,0,1,0,0,0,0,0,0,0,0,0,4945,Robert D. Yeoman,DreamWorks
Mambo Italiano,1339,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,6.7,5000000,19,Sep,2003,92,English,Canada,R,1.85,Samuel Goldwyn Films,18,ÌÄåämile Gaudreault,Paul Sorvino,6602,Luke Kirby,1719,Claudia Ferri,21527,Color,Comedy|Drama,0,gay|immigrant|italian|police|police officer,0,0,0,0,0,0,0,0,0,1,0,0,0,31057,Serge Ladouceur,Cinmaginaire Inc.
Stake Land,1346,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,6.5,650000,1,Oct,2010,98,English,USA,R,2.35,Dark Sky Films,859,Jim Mickle,Connor Paolo,5308,Michael Cerveris,5210,Nick Damici,22122,Color,Drama|Horror|Sci-Fi,1,canada|post apocalypse|road movie|vampire|vampire hunter,0,0,1,0,0,0,0,0,1,1,0,0,0,12303,Ryan Samul,Glass Eye Pix
The Intern,1365,http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1,7.2,35000000,25,Sep,2015,121,English,USA,PG-13,1.85,Creative Artists Agency (CAA),378,Nancy Meyers,Robert De Niro,379,Anne Hathaway,266,Rene Russo,1805,Color,Comedy|Drama,2,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,0,0,0,0,0,0,0,0,0,1,0,0,0,2148,Stephen Goldblatt,Waverly Films
88 Minutes,1367,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,5.9,30000000,18,Apr,2008,108,English,USA,R,2.35,Columbia Pictures Corporation,9,Jon Avnet,Al Pacino,516,Alicia Witt,1300,Deborah Kara Unger,2985,Color,Crime|Drama|Mystery|Thriller,1,death|fbi|forensics|murder|serial killer,0,0,0,1,0,0,0,0,0,1,0,0,1,9088,Denis Lenoir,Millennium Films
Bulworth,1370,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,6.8,30000000,22,May,1998,108,English,USA,R,1.85,20th Century Fox Home Entertainment,169,Warren Beatty,Warren Beatty,3419,Kirk Baltz,20606,Graham Beckel,14903,Color,Comedy|Drama|Romance,1,hip hop|liberal|politics|senator|truth,0,0,0,0,0,1,0,0,0,1,0,0,0,12768,Vittorio Storaro,Twentieth Century Fox
The Animal,1375,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1,4.8,22000000,1,Jun,2001,84,English,USA,PG-13,1.85,Columbia Pictures Corporation,62,Luke Greenfield,Louis Lombardi,17998,Michael Papajohn,15043,Colleen Haskell,16543,Color,Comedy|Sci-Fi,1,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,0,0,1,0,0,0,0,0,0,0,0,0,0,10539,Peter Lyons Collister,Revolution Studios
Dead Like Me: Life After Death,1385,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,6.1,5000000,17,Feb,2009,87,English,USA,R,1.78,MGM Home Entertainment,10,Stephen Herek,Henry Ian Cusick,3655,Callum Blue,6538,Shenae Grimes-Beech,4093,Color,Comedy|Drama|Fantasy,1,african american policeman|police|policeman|policewoman|vomiting,0,0,0,0,0,0,0,0,0,1,0,0,0,12028,Bruce Chun,Metro-Goldwyn-Mayer (MGM)
Stone,1388,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,5.4,22000000,22,Oct,2010,105,English,USA,R,2.35,Millennium Films,676,John Curran,Robert De Niro,379,Milla Jovovich,281,Frances Conroy,769,Color,Drama|Thriller,1,arsonist|blood splatter on face|deception|parole|parole officer,0,0,0,1,0,0,0,0,0,1,0,0,0,8215,Maryse Alberti,Millennium Films
Georgia Rule,1397,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,5.9,20000000,11,May,2007,113,English,USA,R,2.35,Universal Pictures,329,Garry Marshall,Hector Elizondo,3264,Zachary Gordon,4834,Jane Fonda,200,Color,Comedy|Drama,3,alcoholic|rules|secret|summer|teenager,0,0,0,0,0,0,0,0,0,1,0,0,0,7935,Karl Walter Lindenlaub,Morgan Creek Entertainment Group
The Spy Who Loved Me,1398,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,7.1,14000000,3,Aug,1977,123,English,UK,PG,2.35,United Artists,521,Lewis Gilbert,Caroline Munro,2577,Desmond Llewelyn,8347,Barbara Bach,3535,Color,Action|Adventure|Sci-Fi|Thriller,2,1970s|cult film|official james bond series|submarine|world war three,1,1,1,1,0,0,0,0,0,0,0,0,0,3121,Claude Renoir,Eon Productions
Transamerica,1399,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,7.4,1000000,3,Mar,2006,103,English,USA,R,1.85,IFC Films,198,Duncan Tucker,Kevin Zegers,2781,Felicity Huffman,3606,Paul Borghese,49550,Color,Adventure|Comedy|Drama,2,bail|male full frontal nudity|sex change|stepfather|transsexual,0,1,0,0,0,0,0,0,0,1,0,0,0,11569,Stephen Kazmierski,Belladonna Productions
Whiplash,1410,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,8.5,3300000,16,Jan,2014,107,English,USA,R,2.4,Sierra / Affinity,3091,Damien Chazelle,J.K. Simmons,1304,Melissa Benoist,37,Chris Mulkey,7775,Color,Drama|Music,0,conservatory|drummer|emotional abuse|music school|obsession,0,0,0,0,1,0,0,0,0,1,0,0,0,597,Sharone Meir,Bold Films
The Maze Runner,1411,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,6.8,34000000,19,Sep,2014,113,English,USA,PG-13,2.35,Twentieth Century Fox,1699,Wes Ball,Ki Hong Lee,5999,Aml Ameen,9913,Jacob Latimore,11764,Color,Action|Mystery|Sci-Fi|Thriller,0,based on novel|concrete wall|maze|open ended|teenage boy,1,0,1,1,0,0,0,0,0,0,0,0,0,1634,Enrique Chediak,Twentieth Century Fox
Final Destination,1416,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,6.7,23000000,17,Mar,2000,98,English,USA,R,1.85,New Line Cinema,2098,James Wong,Daniel Roebuck,6614,Brendan Fehr,4349,Kerr Smith,4122,Color,Horror|Thriller,1,dead teenager|death|explosion|premonition|teenager,0,0,0,1,0,0,0,0,1,0,0,0,0,2165,Robert McLachlan,New Line Cinema
Sex Drive,1425,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,6.5,19000000,17,Oct,2008,129,English,USA,R,1.85,Summit Distribution,498,Sean Anders,Katrina Bowden,351,Michael Cudlitz,2352,Alice Greczyn,4638,Color,Adventure|Comedy|Romance,1,amish|friend|friendship|high school|virgin,0,1,0,0,0,1,0,0,0,0,0,0,0,2401,Tim Orr,Summit Entertainment
The Bank Job,1428,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,7.3,20000000,7,Mar,2008,111,English,UK,R,2.35,Arclight Films,460,Roger Donaldson,Jason Statham,304,Saffron Burrows,1646,Daniel Mays,5391,Color,Crime|Drama|Romance|Thriller,0,chase|heist|london england|mobster|safe deposit,0,0,0,1,0,1,0,0,0,1,0,0,1,4694,Michael Coulter,Mosaic Media Group
Happy Gilmore,1430,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1,7,12000000,16,Feb,1996,92,English,USA,PG-13,1.85,Universal Pictures,601,Dennis Dugan,Adam Sandler,383,Kevin Nealon,6536,Frances Bay,10528,Color,Comedy|Sport,1,golf|golf ball|golfer|grandmother's house|tournament,0,0,0,0,0,0,0,1,0,0,0,0,0,2458,Arthur Albert,Universal Pictures
The Golden Child,1432,http://www.imdb.com/title/tt0091129/?ref_=fn_tt_tt_1,5.9,25000000,12,Dec,1986,94,English,USA,PG-13,1.85,Paramount Pictures,62,Michael Ritchie,Victor Wong,10959,Randall 'Tex' Cobb,9461,Charlotte Lewis,9896,Color,Action|Adventure|Comedy|Fantasy|Mystery,1,boy|child|chosen one|demon|detective,1,1,0,0,0,0,0,0,0,0,0,0,0,6645,Donald E. Thorin,Paramount Pictures
United 93,1449,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,7.6,15000000,28,Apr,2006,111,English,USA,R,2.35,Universal Pictures,739,Paul Greengrass,Christian Clemenson,12053,David Alan Basche,21214,Susan Blommaert,5755,Color,Drama|History|Thriller,0,flight|passenger|plane|september 11 2001|terrorist,0,0,0,1,0,0,0,0,0,1,0,0,0,3895,Barry Ackroyd,Universal Pictures
America's Sweethearts,1453,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,5.7,48000000,20,Jul,2001,102,English,USA,PG-13,2.35,Columbia Pictures Corporation,105,Joe Roth,Julia Roberts,513,Rainn Wilson,1084,Larry King,16060,Color,Comedy|Romance,4,actor|love|movie star|press|publicist,0,0,0,0,0,1,0,0,0,0,0,0,0,10819,Phedon Papamichael,Revolution Studios
Bamboozled,1472,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,6.5,10000000,20,Oct,2000,135,English,USA,R,1.85,New Line Cinema,66,Spike Lee,Gillian White,16044,Michael Rapaport,777,Jada Pinkett Smith,1892,Color,Comedy|Drama|Music,0,actor|minstrel show|protest|success|writer,0,0,0,0,1,0,0,0,0,1,0,0,0,15003,Ellen Kuras,New Line Cinema
The Blues Brothers,1477,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,7.9,27000000,20,Jun,1980,148,English,USA,R,1.85,Universal Pictures,678,John Landis,John Belushi,3472,Aretha Franklin,7881,Ray Charles,5789,Color,Action|Comedy|Crime|Music,1,band|catholic|money|parolee|prison,1,0,0,0,1,0,0,0,0,0,0,0,1,1592,Stephen M. Katz,Universal Pictures
Endless Love,1479,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,6.3,20000000,14,Feb,2014,104,English,USA,PG-13,2.35,Universal Pictures,221,Shana Feste,Alex Pettyfer,1625,Bruce Greenwood,1651,Rhys Wakefield,6743,Color,Drama|Romance,0,brother sister relationship|high school graduation|love|sparkler|unfaithful husband,0,0,0,0,0,1,0,0,0,1,0,0,0,3709,Andrew Dunn,Bluegrass Films
Diary of a Wimpy Kid: Dog Days,1480,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,6.4,22000000,3,Aug,2012,94,English,USA,PG,2.35,20th Century Fox Home Entertainment,220,David Bowers,Zachary Gordon,4834,Rachael Harris,2036,Karan Brar,7153,Color,Comedy|Family,2,best friend|camping|country club|no opening credits|summer vacation,0,0,0,0,0,0,0,0,0,0,0,0,0,6526,Anthony B. Richmond,Fox 2000 Pictures
The Perfect Man,1482,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,5.5,25000000,17,Jun,2005,100,English,USA,PG,1.85,Universal Pictures,32,Mark Rosman,Ben Feldman,1715,Chris Noth,4046,Vanessa Lengies,2418,Color,Comedy|Family|Romance,3,e mail|moving|perfect man|secret admirer|suitor,0,0,0,0,0,1,0,0,0,0,0,0,0,4992,John R. Leonetti,Universal Pictures
Home Fries,1483,http://www.imdb.com/title/tt0119304/?ref_=fn_tt_tt_1,5,15000000,25,Nov,1998,91,English,USA,PG-13,1.85,Warner Bros.,25,Dean Parisot,Catherine O'Hara,1870,Jake Busey,1400,Shelley Duvall,1357,Color,Comedy|Drama|Romance,2,baby|infidelity|pilot|pregnant|waitress,0,0,0,0,0,1,0,0,0,1,0,0,0,20242,Jerzy Zielinski,Baltimore Pictures
The World's End,1485,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,7,20000000,23,Aug,2013,109,English,UK,R,2.35,Focus Features,1221,Edgar Wright,Michael Smiley,9504,Thomas Law,38546,Jasper Levine,331300,Color,Action|Comedy|Sci-Fi,6,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters,1,0,1,0,0,0,0,0,0,0,0,0,0,2643,Bill Pope,Universal Pictures
The Big Short,1487,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,7.8,28000000,23,Dec,2015,130,English,USA,R,2.35,Paramount Pictures,2017,Adam McKay,Ryan Gosling,215,Christian Bale,49,Charlie Talbert,22896,Color,Biography|Comedy|Drama|History,4,bank|banking|finance|fraud|mortgage,0,0,0,0,0,0,0,0,0,1,0,0,0,773,Barry Ackroyd,Paramount Pictures
F.I.S.T.,1488,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,6.4,11000000,28,Apr,1978,145,English,USA,PG,1.85,United Artists,16,Norman Jewison,Sylvester Stallone,151,Peter Boyle,5463,Rod Steiger,4205,Color,Drama,2,1930s|driving through a gate|funeral|senator|trade union,0,0,0,0,0,0,0,0,0,1,0,0,0,16470,Laa1szlab3 Kovaa1cs,Chateau Productions
Shine,1489,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,7.7,5500000,14,Feb,1997,105,English,Australia,PG-13,1.85,Fine Line Features,403,Scott Hicks,Noah Taylor,2977,Armin Mueller-Stahl,11273,Nicholas Bell,31210,Color,Biography|Drama|Music|Romance,0,abuse|australia|concert|pianist|piano,0,0,0,0,1,1,0,0,0,1,0,0,0,7770,Geoffrey Simpson,Australian Film Finance Corporation (AFFC)
Beyond the Black Rainbow,1490,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,6.1,1100000,22,Apr,2011,110,English,Canada,R,2.35,XYZ Films,219,Panos Cosmatos,Chris Gauthier,14086,Marilyn Norry,40777,Eva Bourne,5163,Color,Sci-Fi|Thriller,1,exploitation|four word title|hallucinogen|lynchian|telepathy,0,0,1,1,0,0,0,0,0,0,0,0,0,1381,Norm Li,Chromewood Productions
Insidious,1492,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,6.8,1500000,1,May,2008,103,English,USA,PG-13,2.35,Romantic Troubadour Entertainment,2,James Wan,Lin Shaye,1985,Barbara Hershey,1142,Philip Friedman,32994,Color,Fantasy|Horror|Mystery|Thriller,1,baby|boy|coma|demon|house,0,0,0,1,0,0,0,0,1,0,0,0,0,24720,Karl Kim,Romantic Troubadour Entertainment
Selena,1496,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,6.7,20000000,21,Mar,1997,127,English,USA,PG,2.35,Warner Bros.,309,Gregory Nava,Jon Seda,4645,Constance Marie,6751,Jacob Vargas,6230,Color,Biography|Drama|Music,1,latin music|marriage|on tour|singer|tejano,0,0,0,0,1,0,0,0,0,1,0,0,0,3605,Edward Lachman,Q Productions
The Wrestler,1499,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,7.9,6000000,30,Jan,2009,109,English,USA,R,2.35,Wild Bunch,3308,Darren Aronofsky,Mark Margolis,2586,John D'Leo,27444,Ajay Naidu,14005,Color,Drama|Sport,0,heart attack|stripper|supermarket|wrestler|wrestling,0,0,0,0,0,0,0,1,0,1,0,0,0,3668,Maryse Alberti,Wild Bunch
Latter Days,1501,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,7.2,850000,10,Jul,2003,107,English,USA,R,1.85,TLA Releasing,33,C. Jay Cox,Joseph Gordon-Levitt,674,Rob McElhenney,1863,Jacqueline Bisset,2298,Color,Comedy|Drama|Romance,2,christian|male frontal nudity|mormon|mormon missionary|nudity,0,0,0,0,0,1,0,0,0,1,0,0,0,14498,Carl Bartels,Funny Boy Films
Dead Man Walking,1505,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,7.6,11000000,2,Feb,1996,122,English,UK,R,1.85,Gramercy Pictures (I),410,Tim Robbins,Lois Smith,4576,Celia Weston,7325,Robert Prosky,10132,Color,Crime|Drama,0,death|execution|nun|solitary confinement|visit,0,0,0,0,0,0,0,0,0,1,0,0,1,3974,Roger Deakins,Havoc
The Perfect Game,1512,http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,7,12500000,16,Apr,2010,118,English,Canada,PG,2.35,Image Entertainment,144,William Dear,Clifton Collins Jr.,2999,Cheech Marin,7667,Bruce McGill,4461,Black and White,Comedy|Drama|Family|Sport,0,baseball movie|little league|little league baseball|mexico|three word title,0,0,0,0,0,0,0,1,0,1,0,0,0,24886,Bryan Greenberg,IndustryWorks Pictures
Who's Your Caddy?,1521,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,2,7000000,27,Jul,2007,93,English,USA,PG-13,1.85,Bigfoot Ascendant Distribution,3,Don Michael Paul,Jeffrey Jones,3235,Faizon Love,9596,Lil' Wayne,13180,Color,Comedy|Sport,0,2000s|golf caddy|golf course|golfer|question mark in title,0,0,0,0,0,0,0,1,0,0,0,0,0,22240,Thomas L. Callaway,Ascendant Pictures
Patch Adams,1522,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,6.7,50000000,25,Dec,1998,115,English,USA,PG-13,2.35,Universal Pictures,143,Tom Shadyac,Robin Williams,566,Philip Seymour Hoffman,1232,Monica Potter,1936,Color,Biography|Comedy|Drama|Romance,1,doctor|hospital|mental institution|nurse|student,0,0,0,0,0,1,0,0,0,1,0,0,0,2570,Phedon Papamichael,Universal Pictures
Star Trek: Generations,1524,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,6.6,35000000,18,Nov,1994,118,English,USA,PG,2.35,Paramount Pictures,150,David Carson,LeVar Burton,6476,Alan Ruck,2440,Jonathan Frakes,3898,Color,Action|Adventure|Mystery|Sci-Fi|Thriller,0,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,1,1,1,1,0,0,0,0,0,0,0,0,0,8176,John A. Alonzo,Paramount Pictures
Arlington Road,1528,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,7.2,21500000,9,Jul,1999,117,English,USA,R,2.35,Lakeshore International,166,Mark Pellington,Jeff Bridges,411,Spencer Treat Clark,406,Hope Davis,4125,Color,Crime|Drama|Thriller,1,death|fbi|fbi agent|neighbor|professor,0,0,0,1,0,0,0,0,0,1,0,0,1,9374,Bobby Bukowski,Screen Gems
Julie & Julia,1530,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,7,40000000,7,Aug,2009,123,English,USA,PG-13,1.85,Columbia Pictures Corporation,31,Nora Ephron,Meryl Streep,559,Mary Lynn Rajskub,1204,Vanessa Ferlito,2080,Color,Biography|Drama|Romance,2,american|blog|book|cook|cooking,0,0,0,0,0,1,0,0,0,1,0,0,0,4504,Stephen Goldblatt,Columbia Pictures Corporation
Water for Elephants,1533,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,6.9,38000000,22,Apr,2011,120,English,USA,PG-13,2.35,Twentieth Century Fox,4166,Francis Lawrence,Robert Pattinson,740,Christoph Waltz,1113,James Frain,3417,Color,Drama|Romance,1,circus|circus vargas|elephant|fear|train,0,0,0,0,0,1,0,0,0,1,0,0,0,4020,Rodrigo Prieto,Fox 2000 Pictures
Timecop,1538,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,5.8,27000000,16,Sep,1994,99,English,Canada,R,2.35,Universal Pictures,235,Peter Hyams,Mia Sara,1200,Bruce McGill,4461,Gloria Reuben,2773,Color,Action|Crime|Sci-Fi|Thriller,1,cop|corrupt politician|future|senator|time travel,1,0,1,1,0,0,0,0,0,0,0,0,1,8795,Peter Hyams,Largo Entertainment
Abduction,1540,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,5,35000000,23,Sep,2011,106,English,USA,PG-13,2.35,Lionsgate,2120,John Singleton,Ken Arnold,41868,Benjamin J. Cain Jr.,99110,Richard Cetrone,13337,Color,Action|Mystery|Thriller,1,assassin|high school|on the run|teenager|website,1,0,0,1,0,0,0,0,0,0,0,0,0,6776,Peter Menzies Jr.,Lionsgate
